File,RelativePath,Folder,Date,Time,ImageQuality,DeleteFlag,Species,Species2,SpeciesCount,Species2Count,IfOther,IfOther2,Comment,PigBehavior
IMG_0053.JPG,SF9_S22-C29,KillCams,21-Jul-22,10:09:37,Ok,FALSE,,,1,1,,,,
IMG_0054.JPG,SF9_S22-C29,KillCams,21-Jul-22,10:09:39,Ok,FALSE,,,1,1,,,,
IMG_0055.JPG,SF9_S22-C29,KillCams,21-Jul-22,10:11:03,Ok,FALSE,,,1,1,,,,
IMG_0056.JPG,SF9_S22-C29,KillCams,21-Jul-22,10:11:05,Ok,FALSE,,,1,1,,,,
IMG_0057.JPG,SF9_S22-C29,KillCams,21-Jul-22,10:11:07,Ok,FALSE,,,1,1,,,,
IMG_0058.JPG,SF9_S22-C29,KillCams,21-Jul-22,10:12:45,Ok,FALSE,,,1,1,,,,
IMG_0059.JPG,SF9_S22-C29,KillCams,21-Jul-22,10:12:48,Ok,FALSE,,,1,1,,,,
IMG_0060.JPG,SF9_S22-C29,KillCams,21-Jul-22,10:12:50,Ok,FALSE,,,1,1,,,,
IMG_0061.JPG,SF9_S22-C29,KillCams,21-Jul-22,10:14:28,Ok,FALSE,,,1,1,,,,
IMG_0062.JPG,SF9_S22-C29,KillCams,21-Jul-22,10:14:30,Ok,FALSE,,,1,1,,,,
IMG_0063.JPG,SF9_S22-C29,KillCams,21-Jul-22,10:14:32,Ok,FALSE,,,1,1,,,,
IMG_0064.JPG,SF9_S22-C29,KillCams,21-Jul-22,10:16:02,Ok,FALSE,,,1,1,,,,
IMG_0065.JPG,SF9_S22-C29,KillCams,21-Jul-22,10:16:04,Ok,FALSE,,,1,1,,,,
IMG_0066.JPG,SF9_S22-C29,KillCams,21-Jul-22,10:16:06,Ok,FALSE,,,1,1,,,,
IMG_0067.JPG,SF9_S22-C29,KillCams,21-Jul-22,10:18:26,Ok,FALSE,,,1,1,,,,
IMG_0068.JPG,SF9_S22-C29,KillCams,21-Jul-22,10:18:28,Ok,FALSE,,,1,1,,,,
IMG_0069.JPG,SF9_S22-C29,KillCams,21-Jul-22,10:18:30,Ok,FALSE,,,1,1,,,,
IMG_0070.JPG,SF9_S22-C29,KillCams,21-Jul-22,10:21:07,Ok,FALSE,,,1,1,,,,
IMG_0071.JPG,SF9_S22-C29,KillCams,21-Jul-22,10:21:09,Ok,FALSE,,,1,1,,,,
IMG_0072.JPG,SF9_S22-C29,KillCams,21-Jul-22,10:21:11,Ok,FALSE,,,1,1,,,,
IMG_0073.JPG,SF9_S22-C29,KillCams,21-Jul-22,10:22:20,Ok,FALSE,,,1,1,,,,
IMG_0074.JPG,SF9_S22-C29,KillCams,21-Jul-22,10:22:22,Ok,FALSE,,,1,1,,,,
IMG_0075.JPG,SF9_S22-C29,KillCams,21-Jul-22,10:22:24,Ok,FALSE,,,1,1,,,,
IMG_0076.JPG,SF9_S22-C29,KillCams,21-Jul-22,10:24:24,Ok,FALSE,,,1,1,,,,
IMG_0077.JPG,SF9_S22-C29,KillCams,21-Jul-22,10:24:27,Ok,FALSE,,,1,1,,,,
IMG_0078.JPG,SF9_S22-C29,KillCams,21-Jul-22,10:24:29,Ok,FALSE,,,1,1,,,,
IMG_0079.JPG,SF9_S22-C29,KillCams,21-Jul-22,10:27:23,Ok,FALSE,,,1,1,,,,
IMG_0080.JPG,SF9_S22-C29,KillCams,21-Jul-22,10:27:25,Ok,FALSE,,,1,1,,,,
IMG_0081.JPG,SF9_S22-C29,KillCams,21-Jul-22,10:27:27,Ok,FALSE,,,1,1,,,,
