Date,Obs,Sample_ID,Species_1,Sp1_%,Species_2,Sp2_%,Species_3,Sp3_%,Species_4,Sp4_%,Notes,Season,Cluster,Method
12/9/2022,RS,53,ODHE,70,BONE,20,BONE (rodent),10,,,Many ticks SF1 S21 C25,summer,Y,kill
10/14/2022,RS,Unk Scat TA 19 6-7-2022,,,,,,,,,mostly bones. Rodent likely ground squirrel,summer,N,opportunistic
11/18/2022,MM,49,BONE,95,ODHE,5,,,,,"not a lot of hair, a lot of bone SF1 7/15/21 Day",,N,day
10/14/2022,RS,SF9 S22 C21,PRLO,50,BONE,50,ODHE,T,SUSC,T,"older than cluster, tick, single deer and pig hairs",summer,Y,kill
12/12/2022,RS,38,ODHE,70,BONE,30,,,,,SF1 7/19/21 day 16 ticks,summer,N,day
12/9/2022,RS,52,ODHE,85,BONE,15,PUCO,T,,,SF1 A08 Teeth,,Y,kill
11/20/2022,MM,48,ODHE,60,BONE,40,,,,,SF1 S21 C10,summer,Y,kill
12/12/2022,RS,40,ODHE,55,BONE,45,,,,,SF1 S21 C96,summer,Y,kill
10/25/2022,RS,11,ODHE,97,BONE,3,,,,,SF1-W21-C04,winter,Y,kill
12/12/2022,SR,34,ODHE,70,BONE,25,BONE (sm),5,SUSC,T,SF9 7/14/21 day (potentially CECA instead of ODHE),summer,N,day
12/2/2022,RS,44,ODHE,50,BONE,40,PLANT,5,BIRD,5,SF9 7/18/21 day Large size. Trace carnivore hair likely puco,summer,N,day
12/1/2022,MM,47,ODHE,90,BONE,10,,,,,SF9 7/19/21 day,summer,N,day
11/17/2022,MM,43,SUSC,90,ODHE,5,BONE,5,,,SF9 S21 C37,summer,Y,kill
5/15/2024,MP,125,ODHE,100,,,,,,,SF9 S23 C25,summer,Y,kill
5/15/2024,MP,122,ODHE,80,SUSC,20,BIRD,T,,,SF9 S23 C30,summer,Y,kill
5/15/2024,MP,109,SYBA,100,SUSC,T,,,,,SF9 S23 C47,summer,Y,kill
5/15/2024,MP,110,ODHE,90,SUSC,10,,,,,SF9 S23 C54,summer,Y,kill
4/14/2023,MM,107,ODHE,100,BONE,T,,,,,SF9 W22 10-13,winter,Y,kill
4/19/2023,MM,104,ODHE,100,,,,,,,SF9 W22 C07 some skin,winter,Y,kill
4/19/2023,MM,105,ODHE,60,BONE,40,,,,,SF9 W22 C14,winter,Y,kill
4/20/2023,MM,103,ODHE,100,BONE,T,,,,,SF9 W22 C25,winter,Y,kill
5/15/2024,MP,127,ODHE,95,SUSC,T,,,,,SF9 W23 1025,winter,Y,kill
5/15/2024,MP,114,ODHE,100,,,,,,,SF9 W23 1028,winter,Y,kill
5/15/2024,MP,117,ODHE,100,,,,,,,SF9 W23 C01,winter,Y,kill
5/15/2024,MP,118,ODHE,100,,,,,,,SF9 W23 C14,winter,Y,kill
12/3/2022,MM,41,ODHE,95,BONE,5,,,,,SM6 7/15/21 day,,N,day
12/9/2022,RS,46,MEGA,25,BONE,15,ODHE,60,,,"SM6 7/25/21 day Skin, feathers, and toes",summer,N,day
12/1/2022,MM,39,SUSC,50,BONE,50,PUCO,T,,,SM6 S21 C17,summer,Y,kill
12/2/2022,RS,45,CALA,50,BONE,70,,,,,SM6 S21 C20,summer,Y,kill
5/15/2024,MP,103,ODHE,70,CALA,30,SUSC,T,,,SM6 S23 C02,summer,Y,kill
5/15/2024,MP,112,ODHE,90,SUSC,10,,,,,SM6 S23 C03,summer,Y,kill
5/15/2024,MP,116,SUSC,100,,,,,,,SM6 S23 C16,summer,Y,kill
4/26/2023,MM,108,SUSC,75,BONE,25,,,,,SM6 W22 C16,winter,Y,kill
4/20/2023,MM,102,SUSC,95,BONE,5,,,,,SM6 W22 C28,winter,Y,kill
5/15/2024,MP,121,SUSC,100,,,,,,,SM6 W23 11/23 DAY,winter,N,day
10/25/2022,RS,21,SUSC,45,PUCO,45,BONE,10,,,SM6-W21-C20,,Y,kill
4/12/2023,MM,106,SUSC,90,BONE,10,,,,,SM6-W22-C07,winter,Y,kill
10/18/2022,MM,Unk Scat TA 24 7-2-2022,ODHE,80,BONE,20,SUSC,T,,,Small mammal (rat/squirrel) scat,summer,N,opportunistic
10/13/2022,MM,SF9 S22 C19,ODHE,65,Small Mammal,35,PUCO,T,,,"Small mammal = mouse or vole, 2 ticks",summer,Y,kill
10/27/2022,MM,19,ODHE,95,BONE,5,PUCO,T,,,Some skin that wasn't digested,winter,Y,kill
11/8/2022,MM,SF9 W21 C23,ODHE,60,BONE,40,PUCO,T,SUSC,T,Some skin that wasn't digested,winter,Y,kill
11/10/2022,RS,15,SUSC,75,BONE (lg),20,BONE (sm),5,,,Teeth and hooves found. One tooth looks different,winter,Y,kill
